date	AAPL	MSFT	GOOGL	AMZN	NVDA	META
2023-10-31	-0.002569751556484312	0.07081544095933534	-0.05181102120209069	0.046963447626806376	-0.06250711266291331	0.0035308034080265838
2023-11-30	0.11378020767974384	0.12294543214364761	0.06810118406263244	0.0976782655173829	0.14688580825862574	0.08590291880764123
2023-12-31	0.01358240869795213	-0.007574439178445358	0.05402546090572691	0.04004385139407618	0.05893416365097126	0.08195010092799726
2024-01-31	-0.04222713796995248	0.057281289204507146	0.0029352273100642368	0.021455801332457725	0.2424175144482701	0.10221497065046647
2024-02-29	-0.018543094216382783	0.042318217349710974	-0.011706000027610797	0.1389175127740745	0.28580961383868764	0.257625652264704
2024-03-31	-0.051286376683144064	0.017116367216092998	0.09006189454811575	0.020479805886374214	0.14218104679154564	-0.009283298162170994
2024-04-30	-0.006706317788891303	-0.0746101736858592	0.07851334860057779	-0.029825949313549094	-0.04376011377861033	-0.11411094684454592
2024-05-31	0.1302221921064548	0.06819097973030264	0.05971246522182594	0.00822858537946436	0.2688709687962716	0.08522210985838741
2024-06-30	0.09555268340620593	0.07665067066350328	0.0571539347851544	0.09527316552932019	0.12694301257600626	0.08116586704823536
2024-07-31	0.054410857279600044	-0.06398926671137495	-0.05824878880893547	-0.032445041513381456	-0.052776456629770374	-0.05828809489380504
2024-08-31	0.03235355420680941	-0.0010951369484436535	-0.04756892946982039	-0.045352422298136075	0.020082108099932716	0.09788764253632509
2024-09-30	0.017467272878927576	0.031548120220337816	0.016465153948771905	0.043865556476496925	0.01742803138700255	0.09912738456087333
2024-10-31	-0.030429263422064645	-0.05565887021666749	0.03171533238261448	0.0003756349741959042	0.09321479744708316	-0.00848994882195142
2024-11-30	0.05170699208293783	0.044192533687811286	-0.01262343379377584	0.1152897328156477	0.0413528406323993	0.01187505113817
2024-12-31	0.05515522296438746	-0.004628514836877762	0.12173396200969577	0.05531771626226978	-0.028576882153825034	0.02030619306714665
2025-01-31	-0.05758324593089459	-0.015278788587817393	0.07776016405005848	0.08336748865953902	-0.10589023649201901	0.1770592350502762
2025-02-28	0.02587240700071991	-0.041618070197747215	-0.16537591483699265	-0.10686635257151178	0.04039306589811753	-0.030441910954975393
2025-03-31	-0.0815001347836245	-0.05440933445104257	-0.0908028317220051	-0.10373094214756728	-0.132324908063841	-0.1366764968094123
2025-04-30	-0.043353014323267214	0.05293158280475718	0.02690117882091836	-0.030694820280155244	0.004982471519607401	-0.04747037407021881
2025-05-31	-0.05358406523857118	0.16683985530871492	0.08148620048635191	0.1116473080052216	0.24063535721768625	0.1793989697259648
2025-06-30	0.021508544579914135	0.08048057152578059	0.027386362585068325	0.07014294555445666	0.16925162601006294	0.14080207012618495
2025-07-31	0.011697684229461824	0.07255576181506562	0.08891788315748461	0.06709513314943605	0.12583067873165943	0.04789385345923347
2025-08-31	0.11963891074454747	-0.048691700401007454	0.1094841606767234	-0.021827348669553825	-0.02074550257324248	-0.044916205684624955
