date	AAPL	MSFT	GOOGL	AMZN	NVDA	META
2023-08-31	186.0476531982422	322.8940124511719	135.35821533203125	138.00999450683594	49.324642181396484	294.2756042480469
2023-09-30	169.54928588867188	311.06231689453125	130.0798797607422	127.12000274658203	43.475826263427734	298.572021484375
2023-10-31	169.11354064941406	333.09033203125	123.34028625488281	133.08999633789062	40.758277893066406	299.626220703125
2023-11-30	188.3553009033203	374.0422668457031	131.73989868164062	146.08999633789062	46.745086669921875	325.3650207519531
2023-12-31	190.9136505126953	371.2091064453125	138.8572235107422	151.94000244140625	49.49997329711914	352.0287170410156
2024-01-31	182.85191345214844	392.4723815917969	139.26480102539062	155.1999969482422	61.4996337890625	388.0113525390625
2024-02-29	179.4612579345703	409.08123779296875	137.6345672607422	176.75999450683594	79.0768051147461	487.9730224609375
2024-03-31	170.25735473632812	416.0831604003906	150.03021240234375	180.3800048828125	90.3200454711914	483.4429626464844
2024-04-30	169.1155548095703	385.03912353515625	161.8095703125	175.0	86.36762237548828	428.2768859863281
2024-05-31	191.13816833496094	411.2953186035156	171.4716339111328	176.44000244140625	109.58937072753906	464.7755432128906
2024-06-30	209.4019317626953	442.8213806152344	181.2718963623047	193.25	123.50099182128906	502.4993896484375
2024-07-31	220.795654296875	414.485595703125	170.71304321289062	186.97999572753906	116.9830322265625	473.2096862792969
2024-08-31	227.9391632080078	414.0316467285156	162.5924072265625	178.5	119.33230590820312	519.5310668945312
2024-09-30	231.92063903808594	427.09356689453125	165.26951599121094	186.3300018310547	121.41203308105469	571.0308227539062
2024-10-31	224.86349487304688	403.32208251953125	170.51109313964844	186.39999389648438	132.72943115234375	566.1828002929688
2024-11-30	236.490478515625	421.1458435058594	168.358642578125	207.88999938964844	138.21817016601562	572.90625
2024-12-31	249.5341796875	419.1965637207031	188.85360717773438	219.38999938964844	134.26832580566406	584.539794921875
2025-01-31	235.16519165039062	412.7917785644531	203.5388946533203	237.67999267578125	120.05062103271484	688.0379638671875
2025-02-28	241.24948120117188	395.6121520996094	169.8784637451172	212.27999877929688	124.89983367919922	667.0927734375
2025-03-31	221.58761596679688	374.087158203125	154.45301818847656	190.25999450683594	108.37247467041016	575.9168701171875
2025-04-30	211.9811248779297	393.88818359375	158.6079864501953	184.4199981689453	108.91243743896484	548.577880859375
2025-05-31	200.622314453125	459.60443115234375	171.5323486328125	205.00999450683594	135.12062072753906	646.9921875
2025-06-30	204.93740844726562	496.5936584472656	176.22999572753906	219.38999938964844	157.99000549316406	738.0900268554688
2025-07-31	207.33470153808594	532.6243896484375	191.89999389648438	234.11000061035156	177.8699951171875	773.4400024414062
