portfolio_id	target_return	realized_return	risk	alloc_AAPL	alloc_AMZN	alloc_GOOGL	alloc_META	alloc_MSFT	alloc_NVDA
9	0.025225740367252676	0.025225740355411006	0.045139458050329734	0.3708273470946261	0.10943563186883794	0.2116670155283041	0.050606162278455366	0.18960318586179517	0.06786065736798128
10	0.0257027779987207	0.025702778036637876	0.04548447002406704	0.36720717910761363	0.10793445616812859	0.21260252179179442	0.05241942553250791	0.18278289683699322	0.07705352056296227
11	0.026179815630188723	0.026179815635546992	0.04584734244621961	0.36365679445719423	0.10638309508098098	0.21353606522496404	0.05419285252214546	0.17594882369362924	0.08628236902108592
12	0.02665685326165675	0.026656853263673914	0.046227655791630295	0.3601731261061433	0.1047849668729583	0.21447341071876108	0.05592784057850436	0.16909509181337098	0.09554556391026184
13	0.027133890893124773	0.027133890892794825	0.046624981132893505	0.3567528707976286	0.10314353215981548	0.21541975862699625	0.057625959747419124	0.16221653166837122	0.10484134699976944
14	0.0276109285245928	0.027610928512402287	0.047038882635032364	0.35339251760544427	0.10146227797673672	0.21637971276294327	0.059288931324825773	0.15530869900840813	0.11416786132164201
15	0.028087966156060823	0.02808796614393887	0.04746891979477695	0.35008843879381435	0.09974465954014435	0.21735730074354034	0.06091857387671843	0.14836782885701597	0.12352319818876667
16	0.028565003787528846	0.028565003794155823	0.047914649375062186	0.34683700164576314	0.09799399970533618	0.21835602133181306	0.06251675429273035	0.14139077489369375	0.1329054481306635
17	0.02904204141899687	0.029042041406645926	0.04837562739877048	0.34363455423786854	0.09621354109303516	0.21937883007453532	0.06408537842692626	0.1343749996609298	0.14231269650670486
18	0.029519079050464893	0.029519079064229917	0.048851411039242454	0.34047744098749283	0.09440641581619433	0.22042820264609164	0.06562638038385714	0.12731852241686362	0.1517430377495003
19	0.02999611668193292	0.02999611669069884	0.04934155988675471	0.3373621440470888	0.09257557060792929	0.22150615852387925	0.06714165493948937	0.12021983958756491	0.16119463229404832
20	0.030473154313400943	0.030473154306798665	0.0498456376751767	0.3342852297663346	0.09072379042918753	0.22261431599258158	0.06863306291201882	0.11307790389762021	0.17066569700225734
21	0.03095019194486897	0.03095019191245513	0.050363213349629066	0.33124340639221944	0.08885369527432015	0.22375391185346083	0.07010241569488436	0.10589205098611529	0.18015451979899982
